entry	entry_name	protein_names	protein_families	organism	ec_number	gene_names(primary)	gene_ontology(molecular_function)	primary_name
Q9NYP7	ELOV5_HUMAN	Elongation of very long chain fatty acids protein 5 (EC 2.3.1.199) (3-keto acyl-CoA synthase ELOVL5) (ELOVL fatty acid elongase 5) (ELOVL FA elongase 5) (Fatty acid elongase 1) (hELO1) (Very long chain 3-ketoacyl-CoA synthase 5) (Very long chain 3-oxoacyl-CoA synthase 5)	ELO family, ELOVL5 subfamily	Homo sapiens (Human)	2.3.1.199	ELOVL5	3-oxo-arachidoyl-CoA synthase activity [GO:0102336]; 3-oxo-cerotoyl-CoA synthase activity [GO:0102337]; 3-oxo-lignoceronyl-CoA synthase activity [GO:0102338]; fatty acid elongase activity [GO:0009922]; very-long-chain 3-ketoacyl-CoA synthase activity [GO:0102756]	Elongation of very long chain fatty acids protein 5
Q9UF33	EPHA6_HUMAN	Ephrin type-A receptor 6 (EC 2.7.10.1) (EPH homology kinase 2) (EHK-2) (EPH-like kinase 12) (EK12)	Protein kinase superfamily, Tyr protein kinase family, Ephrin receptor subfamily	Homo sapiens (Human)	2.7.10.1	EPHA6	ATP binding [GO:0005524]; transmembrane-ephrin receptor activity [GO:0005005]; transmembrane receptor protein tyrosine kinase activity [GO:0004714]	Ephrin type-A receptor 6
Q9NZJ5	E2AK3_HUMAN	Eukaryotic translation initiation factor 2-alpha kinase 3 (EC 2.7.11.1) (PRKR-like endoplasmic reticulum kinase) (Pancreatic eIF2-alpha kinase) (HsPEK)	Protein kinase superfamily, Ser/Thr protein kinase family, GCN2 subfamily	Homo sapiens (Human)	2.7.11.1	EIF2AK3	ATP binding [GO:0005524]; enzyme binding [GO:0019899]; eukaryotic translation initiation factor 2alpha kinase activity [GO:0004694]; Hsp90 protein binding [GO:0051879]; identical protein binding [GO:0042802]; protein kinase activity [GO:0004672]; protein phosphatase binding [GO:0019903]; protein serine/threonine kinase activity [GO:0004674]; protein serine kinase activity [GO:0106310]; protein threonine kinase activity [GO:0106311]	Eukaryotic translation initiation factor 2-alpha kinase 3
Q9UHL4	DPP2_HUMAN	Dipeptidyl peptidase 2 (EC 3.4.14.2) (Dipeptidyl aminopeptidase II) (Dipeptidyl peptidase 7) (Dipeptidyl peptidase II) (DPP II) (Quiescent cell proline dipeptidase)	Peptidase S28 family	Homo sapiens (Human)	3.4.14.2	DPP7	aminopeptidase activity [GO:0004177]; dipeptidyl-peptidase activity [GO:0008239]; serine-type peptidase activity [GO:0008236]	Dipeptidyl peptidase 2
Q9UBS5	GABR1_HUMAN	Gamma-aminobutyric acid type B receptor subunit 1 (GABA-B receptor 1) (GABA-B-R1) (GABA-BR1) (GABABR1) (Gb1)	G-protein coupled receptor 3 family, GABA-B receptor subfamily	Homo sapiens (Human)		GABBR1	G protein-coupled GABA receptor activity [GO:0004965]; G protein-coupled neurotransmitter receptor activity involved in regulation of postsynaptic membrane potential [GO:0099579]; transmembrane signaling receptor activity [GO:0004888]	Gamma-aminobutyric acid type B receptor subunit 1
Q9UGI6	KCNN3_HUMAN	Small conductance calcium-activated potassium channel protein 3 (SK3) (SKCa 3) (SKCa3) (KCa2.3)	Potassium channel KCNN family, KCa2.3/KCNN3 subfamily	Homo sapiens (Human)		KCNN3	calmodulin binding [GO:0005516]; inward rectifier potassium channel activity [GO:0005242]; small conductance calcium-activated potassium channel activity [GO:0016286]	Small conductance calcium-activated potassium channel protein 3
Q9UM73	ALK_HUMAN	ALK tyrosine kinase receptor (EC 2.7.10.1) (Anaplastic lymphoma kinase) (CD antigen CD246)	Protein kinase superfamily, Tyr protein kinase family, Insulin receptor subfamily	Homo sapiens (Human)	2.7.10.1	ALK	ATP binding [GO:0005524]; identical protein binding [GO:0042802]; NF-kappaB-inducing kinase activity [GO:0004704]; protein tyrosine kinase activity [GO:0004713]; transmembrane receptor protein tyrosine kinase activity [GO:0004714]	ALK tyrosine kinase receptor
Q9TT92	ATS5_BOVIN	A disintegrin and metalloproteinase with thrombospondin motifs 5 (ADAM-TS 5) (ADAM-TS5) (ADAMTS-5) (EC 3.4.24.-) (ADMP-2) (Aggrecanase-2) (Fragment)		Bos taurus (Bovine)	3.4.24.-	ADAMTS5	endopeptidase activity [GO:0004175]; metal ion binding [GO:0046872]; metalloendopeptidase activity [GO:0004222]	A disintegrin and metalloproteinase with thrombospondin motifs 5
Q9UIK4	DAPK2_HUMAN	Death-associated protein kinase 2 (DAP kinase 2) (EC 2.7.11.1) (DAP-kinase-related protein 1) (DRP-1)	Protein kinase superfamily, CAMK Ser/Thr protein kinase family, DAP kinase subfamily	Homo sapiens (Human)	2.7.11.1	DAPK2	ATP binding [GO:0005524]; calmodulin binding [GO:0005516]; identical protein binding [GO:0042802]; protein serine/threonine kinase activity [GO:0004674]; protein serine kinase activity [GO:0106310]; protein threonine kinase activity [GO:0106311]	Death-associated protein kinase 2
Q9UBC3	DNM3B_HUMAN	DNA (cytosine-5)-methyltransferase 3B (Dnmt3b) (EC 2.1.1.37) (DNA methyltransferase HsaIIIB) (DNA MTase HsaIIIB) (M.HsaIIIB)	Class I-like SAM-binding methyltransferase superfamily, C5-methyltransferase family	Homo sapiens (Human)	2.1.1.37	DNMT3B	chromatin binding [GO:0003682]; DNA (cytosine-5-)-methyltransferase activity [GO:0003886]; DNA binding [GO:0003677]; DNA-methyltransferase activity [GO:0009008]; histone deacetylase binding [GO:0042826]; metal ion binding [GO:0046872]; transcription corepressor activity [GO:0003714]	DNA (cytosine-5)-methyltransferase 3B
Q9NYV4	CDK12_HUMAN	Cyclin-dependent kinase 12 (EC 2.7.11.22) (EC 2.7.11.23) (Cdc2-related kinase, arginine/serine-rich) (CrkRS) (Cell division cycle 2-related protein kinase 7) (CDC2-related protein kinase 7) (Cell division protein kinase 12) (hCDK12)	Protein kinase superfamily, CMGC Ser/Thr protein kinase family, CDC2/CDKX subfamily	Homo sapiens (Human)	2.7.11.22; 2.7.11.23	CDK12	ATP binding [GO:0005524]; cyclin binding [GO:0030332]; cyclin-dependent protein serine/threonine kinase activity [GO:0004693]; protein kinase activity [GO:0004672]; protein kinase binding [GO:0019901]; protein serine kinase activity [GO:0106310]; protein threonine kinase activity [GO:0106311]; RNA polymerase II CTD heptapeptide repeat kinase activity [GO:0008353]	Cyclin-dependent kinase 12
Q9ULI0	ATD2B_HUMAN	ATPase family AAA domain-containing protein 2B	AAA ATPase family	Homo sapiens (Human)		ATAD2B	ATP binding [GO:0005524]; chromatin binding [GO:0003682]; histone binding [GO:0042393]; lysine-acetylated histone binding [GO:0070577]	ATPase family AAA domain-containing protein 2B
Q9QXD6	F16P1_MOUSE	Fructose-1,6-bisphosphatase 1 (FBPase 1) (EC 3.1.3.11) (D-fructose-1,6-bisphosphate 1-phosphohydrolase 1) (Fructose-1,6-bisphosphatase isozyme 3) (FBPase 3) (Liver FBPase)	FBPase class 1 family	Mus musculus (Mouse)	3.1.3.11	Fbp1	AMP binding [GO:0016208]; fructose 1,6-bisphosphate 1-phosphatase activity [GO:0042132]; identical protein binding [GO:0042802]; metal ion binding [GO:0046872]; monosaccharide binding [GO:0048029]; RNA polymerase II-specific DNA-binding transcription factor binding [GO:0061629]	Fructose-1,6-bisphosphatase 1
Q9UGJ0	AAKG2_HUMAN	5'-AMP-activated protein kinase subunit gamma-2 (AMPK gamma2) (AMPK subunit gamma-2) (H91620p)	5'-AMP-activated protein kinase gamma subunit family	Homo sapiens (Human)		PRKAG2	ADP binding [GO:0043531]; AMP-activated protein kinase activity [GO:0004679]; AMP binding [GO:0016208]; ATP binding [GO:0005524]; cAMP-dependent protein kinase inhibitor activity [GO:0004862]; cAMP-dependent protein kinase regulator activity [GO:0008603]; phosphorylase kinase regulator activity [GO:0008607]; protein kinase activator activity [GO:0030295]; protein kinase binding [GO:0019901]; protein kinase regulator activity [GO:0019887]	5'-AMP-activated protein kinase subunit gamma-2
Q9NXB9	ELOV2_HUMAN	Elongation of very long chain fatty acids protein 2 (EC 2.3.1.199) (3-keto acyl-CoA synthase ELOVL2) (ELOVL fatty acid elongase 2) (ELOVL FA elongase 2) (Very long chain 3-ketoacyl-CoA synthase 2) (Very long chain 3-oxoacyl-CoA synthase 2)	ELO family, ELOVL2 subfamily	Homo sapiens (Human)	2.3.1.199	ELOVL2	3-oxo-arachidoyl-CoA synthase activity [GO:0102336]; 3-oxo-cerotoyl-CoA synthase activity [GO:0102337]; 3-oxo-lignoceronyl-CoA synthase activity [GO:0102338]; fatty acid elongase activity [GO:0009922]; very-long-chain 3-ketoacyl-CoA synthase activity [GO:0102756]	Elongation of very long chain fatty acids protein 2
Q9P2T1	GMPR2_HUMAN	GMP reductase 2 (GMPR 2) (EC 1.7.1.7) (Guanosine 5'-monophosphate oxidoreductase 2) (Guanosine monophosphate reductase 2)	IMPDH/GMPR family, GuaC type 1 subfamily	Homo sapiens (Human)	1.7.1.7	GMPR2	GMP reductase activity [GO:0003920]; metal ion binding [GO:0046872]	GMP reductase 2
Q9UI32	GLSL_HUMAN	Glutaminase liver isoform, mitochondrial (GLS) (EC 3.5.1.2) (L-glutaminase) (L-glutamine amidohydrolase)	Glutaminase family	Homo sapiens (Human)	3.5.1.2	GLS2	glutaminase activity [GO:0004359]	Glutaminase liver isoform, mitochondrial
Q9NYQ3	HAOX2_HUMAN	Hydroxyacid oxidase 2 (HAOX2) (EC 1.1.3.15) ((S)-2-hydroxy-acid oxidase, peroxisomal) (Cell growth-inhibiting gene 16 protein) (Long chain alpha-hydroxy acid oxidase) (Long-chain L-2-hydroxy acid oxidase)	FMN-dependent alpha-hydroxy acid dehydrogenase family	Homo sapiens (Human)	1.1.3.15	HAO2	(S)-2-hydroxy-acid oxidase activity [GO:0003973]; FMN binding [GO:0010181]; long-chain-(S)-2-hydroxy-long-chain-acid oxidase activity [GO:0052853]; medium-chain-(S)-2-hydroxy-acid oxidase activity [GO:0052854]; very-long-chain-(S)-2-hydroxy-acid oxidase activity [GO:0052852]	Hydroxyacid oxidase 2
Q9UBB5	MBD2_HUMAN	Methyl-CpG-binding domain protein 2 (Demethylase) (DMTase) (Methyl-CpG-binding protein MBD2)		Homo sapiens (Human)		MBD2	C2H2 zinc finger domain binding [GO:0070742]; chromatin binding [GO:0003682]; methyl-CpG binding [GO:0008327]; mRNA binding [GO:0003729]; protein domain specific binding [GO:0019904]; satellite DNA binding [GO:0003696]; siRNA binding [GO:0035197]	Methyl-CpG-binding domain protein 2
Q9QNF7	KITH_HHV1	Thymidine kinase (EC 2.7.1.21)	Herpesviridae thymidine kinase family	Human herpesvirus 1 (HHV-1) (Human herpes simplex virus 1)	2.7.1.21	TK	ATP binding [GO:0005524]; thymidine kinase activity [GO:0004797]	Thymidine kinase
Q9UH92	MLX_HUMAN	Max-like protein X (Class D basic helix-loop-helix protein 13) (bHLHd13) (Max-like bHLHZip protein) (Protein BigMax) (Transcription factor-like protein 4)		Homo sapiens (Human)		MLX	DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; DNA-binding transcription repressor activity, RNA polymerase II-specific [GO:0001227]; protein heterodimerization activity [GO:0046982]; protein homodimerization activity [GO:0042803]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; RNA polymerase II transcription regulatory region sequence-specific DNA binding [GO:0000977]; sequence-specific double-stranded DNA binding [GO:1990837]; transcription factor binding [GO:0008134]	Max-like protein X
Q9UIQ6	LCAP_HUMAN	Leucyl-cystinyl aminopeptidase (Cystinyl aminopeptidase) (EC 3.4.11.3) (Insulin-regulated membrane aminopeptidase) (Insulin-responsive aminopeptidase) (IRAP) (Oxytocinase) (OTase) (Placental leucine aminopeptidase) (P-LAP) [Cleaved into: Leucyl-cystinyl aminopeptidase, pregnancy serum form]	Peptidase M1 family	Homo sapiens (Human)	3.4.11.3	LNPEP	aminopeptidase activity [GO:0004177]; metalloaminopeptidase activity [GO:0070006]; metallopeptidase activity [GO:0008237]; peptide binding [GO:0042277]; zinc ion binding [GO:0008270]	Leucyl-cystinyl aminopeptidase
Q9UGP5	DPOLL_HUMAN	DNA polymerase lambda (Pol Lambda) (EC 2.7.7.7) (EC 4.2.99.-) (DNA polymerase beta-2) (Pol beta2) (DNA polymerase kappa)	DNA polymerase type-X family	Homo sapiens (Human)	2.7.7.7; 4.2.99.-	POLL	5'-deoxyribose-5-phosphate lyase activity [GO:0051575]; DNA binding [GO:0003677]; DNA-directed DNA polymerase activity [GO:0003887]; metal ion binding [GO:0046872]	DNA polymerase lambda
Q9UKV0	HDAC9_HUMAN	Histone deacetylase 9 (HD9) (EC 3.5.1.98) (Histone deacetylase 7B) (HD7) (HD7b) (Histone deacetylase-related protein) (MEF2-interacting transcription repressor MITR)	Histone deacetylase family, HD type 2 subfamily	Homo sapiens (Human)	3.5.1.98	HDAC9	DNA-binding transcription factor binding [GO:0140297]; histone deacetylase activity [GO:0004407]; histone deacetylase activity (H4-K16 specific) [GO:0034739]; histone deacetylase binding [GO:0042826]; metal ion binding [GO:0046872]; NAD-dependent histone deacetylase activity (H3-K14 specific) [GO:0032041]; protein deacetylase activity [GO:0033558]; protein kinase C binding [GO:0005080]; transcription corepressor activity [GO:0003714]; transcription factor binding [GO:0008134]	Histone deacetylase 9
Q9UDY8	MALT1_HUMAN	Mucosa-associated lymphoid tissue lymphoma translocation protein 1 (EC 3.4.22.-) (MALT lymphoma-associated translocation) (Paracaspase)	Peptidase C14B family	Homo sapiens (Human)	3.4.22.-	MALT1	cysteine-type endopeptidase activity [GO:0004197]; endopeptidase activity [GO:0004175]; identical protein binding [GO:0042802]; peptidase activity [GO:0008233]; protease binding [GO:0002020]; protein self-association [GO:0043621]; ubiquitin-protein transferase activity [GO:0004842]	Mucosa-associated lymphoid tissue lymphoma translocation protein 1
Q9UHH9	IP6K2_HUMAN	Inositol hexakisphosphate kinase 2 (InsP6 kinase 2) (InsP6K2) (EC 2.7.4.-) (P(i)-uptake stimulator) (PiUS)	Inositol phosphokinase (IPK) family	Homo sapiens (Human)	2.7.4.-	IP6K2	ATP binding [GO:0005524]; flavonoid binding [GO:0097243]; inositol-1,3,4,5,6-pentakisphosphate kinase activity [GO:0000827]; inositol 5-diphosphate pentakisphosphate 5-kinase activity [GO:0052836]; inositol diphosphate tetrakisphosphate kinase activity [GO:0052839]; inositol heptakisphosphate kinase activity [GO:0000829]; inositol hexakisphosphate 5-kinase activity [GO:0000832]; inositol hexakisphosphate kinase activity [GO:0000828]; kinase activity [GO:0016301]	Inositol hexakisphosphate kinase 2
Q9UNI1	CELA1_HUMAN	Chymotrypsin-like elastase family member 1 (EC 3.4.21.36) (Elastase-1) (Pancreatic elastase 1)	Peptidase S1 family, Elastase subfamily	Homo sapiens (Human)	3.4.21.36	CELA1	metal ion binding [GO:0046872]; serine-type endopeptidase activity [GO:0004252]	Chymotrypsin-like elastase family member 1
Q9NYL2	M3K20_HUMAN	Mitogen-activated protein kinase kinase kinase 20 (EC 2.7.11.25) (Human cervical cancer suppressor gene 4 protein) (HCCS-4) (Leucine zipper- and sterile alpha motif-containing kinase) (MLK-like mitogen-activated protein triple kinase) (Mitogen-activated protein kinase kinase kinase MLT) (Mixed lineage kinase-related kinase) (MLK-related kinase) (MRK) (Sterile alpha motif- and leucine zipper-containing kinase AZK)	Protein kinase superfamily, STE Ser/Thr protein kinase family, MAP kinase kinase kinase subfamily	Homo sapiens (Human)	2.7.11.25	MAP3K20	ATP binding [GO:0005524]; JUN kinase kinase kinase activity [GO:0004706]; magnesium ion binding [GO:0000287]; MAP kinase kinase kinase activity [GO:0004709]; protein serine kinase activity [GO:0106310]; protein threonine kinase activity [GO:0106311]; RNA binding [GO:0003723]	Mitogen-activated protein kinase kinase kinase 20
Q9QVP9	FAK2_MOUSE	Protein-tyrosine kinase 2-beta (EC 2.7.10.2) (Calcium-dependent tyrosine kinase) (CADTK) (Calcium-regulated non-receptor proline-rich tyrosine kinase) (Cell adhesion kinase beta) (CAK-beta) (CAKB) (Focal adhesion kinase 2) (FADK 2) (Proline-rich tyrosine kinase 2) (Related adhesion focal tyrosine kinase) (RAFTK)	Protein kinase superfamily, Tyr protein kinase family, FAK subfamily	Mus musculus (Mouse)	2.7.10.2	Ptk2b	3-phosphoinositide-dependent protein kinase binding [GO:0043423]; ATP binding [GO:0005524]; calmodulin-dependent protein kinase activity [GO:0004683]; enzyme binding [GO:0019899]; NMDA glutamate receptor activity [GO:0004972]; non-membrane spanning protein tyrosine kinase activity [GO:0004715]; protein-containing complex binding [GO:0044877]; protein C-terminus binding [GO:0008022]; protein kinase activity [GO:0004672]; protein tyrosine kinase activity [GO:0004713]; signaling receptor binding [GO:0005102]; transmembrane receptor protein tyrosine kinase activity [GO:0004714]; ubiquitin protein ligase binding [GO:0031625]	Protein-tyrosine kinase 2-beta
Q9NWT6	HIF1N_HUMAN	Hypoxia-inducible factor 1-alpha inhibitor (EC 1.14.11.30) (EC 1.14.11.n4) (Factor inhibiting HIF-1) (FIH-1) (Hypoxia-inducible factor asparagine hydroxylase)		Homo sapiens (Human)	1.14.11.30; 1.14.11.n4	HIF1AN	2-oxoglutarate-dependent dioxygenase activity [GO:0016706]; ankyrin repeat binding [GO:0071532]; carboxylic acid binding [GO:0031406]; ferrous iron binding [GO:0008198]; hypoxia-inducible factor-asparagine oxygenase activity [GO:0102113]; NF-kappaB binding [GO:0051059]; Notch binding [GO:0005112]; oxygen sensor activity [GO:0019826]; peptidyl-asparagine 3-dioxygenase activity [GO:0036140]; peptidyl-histidine dioxygenase activity [GO:0036139]; protein homodimerization activity [GO:0042803]; zinc ion binding [GO:0008270]	Hypoxia-inducible factor 1-alpha inhibitor
Q9UBX1	CATF_HUMAN	Cathepsin F (CATSF) (EC 3.4.22.41)	Peptidase C1 family	Homo sapiens (Human)	3.4.22.41	CTSF	cysteine-type endopeptidase activity [GO:0004197]	Cathepsin F
Q9NX74	DUS2L_HUMAN	tRNA-dihydrouridine(20) synthase [NAD(P)+]-like (EC 1.3.1.91) (Dihydrouridine synthase 2) (Up-regulated in lung cancer protein 8) (URLC8) (tRNA-dihydrouridine synthase 2-like) (hDUS2)	Dus family, Dus2 subfamily	Homo sapiens (Human)	1.3.1.91	DUS2	double-stranded RNA binding [GO:0003725]; flavin adenine dinucleotide binding [GO:0050660]; FMN binding [GO:0010181]; NADPH binding [GO:0070402]; protein kinase inhibitor activity [GO:0004860]; tRNA binding [GO:0000049]; tRNA-dihydrouridine20 synthase activity [GO:0102264]; tRNA dihydrouridine synthase activity [GO:0017150]	tRNA-dihydrouridine(20) synthase [NAD(P)+]-like
Q9ULZ9	MMP17_HUMAN	Matrix metalloproteinase-17 (MMP-17) (EC 3.4.24.-) (Membrane-type matrix metalloproteinase 4) (MT-MMP 4) (MTMMP4) (Membrane-type-4 matrix metalloproteinase) (MT4-MMP) (MT4MMP)	Peptidase M10A family	Homo sapiens (Human)	3.4.24.-	MMP17	enzyme activator activity [GO:0008047]; metalloaminopeptidase activity [GO:0070006]; metalloendopeptidase activity [GO:0004222]; zinc ion binding [GO:0008270]	Matrix metalloproteinase-17
Q9QZN9	CNR2_RAT	Cannabinoid receptor 2 (CB-2) (CB2) (rCB2)	G-protein coupled receptor 1 family	Rattus norvegicus (Rat)		Cnr2	cannabinoid receptor activity [GO:0004949]; G protein-coupled receptor activity [GO:0004930]	Cannabinoid receptor 2
Q9NZ45	CISD1_HUMAN	CDGSH iron-sulfur domain-containing protein 1 (MitoNEET)	CISD protein family	Homo sapiens (Human)		CISD1	2 iron, 2 sulfur cluster binding [GO:0051537]; identical protein binding [GO:0042802]; metal ion binding [GO:0046872]	CDGSH iron-sulfur domain-containing protein 1
Q9UH17	ABC3B_HUMAN	DNA dC->dU-editing enzyme APOBEC-3B (A3B) (EC 3.5.4.38) (Phorbolin-1-related protein) (Phorbolin-2/3)	Cytidine and deoxycytidylate deaminase family	Homo sapiens (Human)	3.5.4.38	APOBEC3B	cytidine deaminase activity [GO:0004126]; deoxycytidine deaminase activity [GO:0047844]; RNA binding [GO:0003723]; zinc ion binding [GO:0008270]	DNA dC->dU-editing enzyme APOBEC-3B
Q9R1C8	5HT6R_MOUSE	5-hydroxytryptamine receptor 6 (5-HT-6) (5-HT6) (Serotonin receptor 6)	G-protein coupled receptor 1 family	Mus musculus (Mouse)		Htr6	G protein-coupled serotonin receptor activity [GO:0004993]; neurotransmitter receptor activity [GO:0030594]	5-hydroxytryptamine receptor 6
Q9UBR2	CATZ_HUMAN	Cathepsin Z (EC 3.4.18.1) (Cathepsin P) (Cathepsin X)	Peptidase C1 family	Homo sapiens (Human)	3.4.18.1	CTSZ	carboxypeptidase activity [GO:0004180]; cysteine-type endopeptidase activity [GO:0004197]; cysteine-type peptidase activity [GO:0008234]	Cathepsin Z
Q9R1T3	CATZ_RAT	Cathepsin Z (EC 3.4.18.1) (Cathepsin Y)	Peptidase C1 family	Rattus norvegicus (Rat)	3.4.18.1	Ctsz	carboxypeptidase activity [GO:0004180]; cysteine-type endopeptidase activity [GO:0004197]	Cathepsin Z
Q9UI42	CBPA4_HUMAN	Carboxypeptidase A4 (EC 3.4.17.-) (Carboxypeptidase A3)	Peptidase M14 family	Homo sapiens (Human)	3.4.17.-	CPA4	metallocarboxypeptidase activity [GO:0004181]; zinc ion binding [GO:0008270]	Carboxypeptidase A4
Q9P2K8	E2AK4_HUMAN	eIF-2-alpha kinase GCN2 (EC 2.7.11.1) (Eukaryotic translation initiation factor 2-alpha kinase 4) (GCN2-like protein)	Protein kinase superfamily, Ser/Thr protein kinase family, GCN2 subfamily	Homo sapiens (Human)	2.7.11.1	EIF2AK4	ATP binding [GO:0005524]; eukaryotic translation initiation factor 2alpha kinase activity [GO:0004694]; protein kinase activity [GO:0004672]; protein serine/threonine kinase activity [GO:0004674]; protein serine kinase activity [GO:0106310]; protein threonine kinase activity [GO:0106311]; tRNA binding [GO:0000049]	eIF-2-alpha kinase GCN2
Q9R1E6	ENPP2_MOUSE	Ectonucleotide pyrophosphatase/phosphodiesterase family member 2 (E-NPP 2) (EC 3.1.4.39) (Autotaxin) (Extracellular lysophospholipase D) (LysoPLD)	Nucleotide pyrophosphatase/phosphodiesterase family	Mus musculus (Mouse)	3.1.4.39	Enpp2	alkylglycerophosphoethanolamine phosphodiesterase activity [GO:0047391]; calcium ion binding [GO:0005509]; lysophospholipase activity [GO:0004622]; nucleic acid binding [GO:0003676]; nucleotide diphosphatase activity [GO:0004551]; phosphodiesterase I activity [GO:0004528]; polysaccharide binding [GO:0030247]; scavenger receptor activity [GO:0005044]; zinc ion binding [GO:0008270]	Ectonucleotide pyrophosphatase/phosphodiesterase family member 2
Q9NZ08	ERAP1_HUMAN	Endoplasmic reticulum aminopeptidase 1 (EC 3.4.11.-) (ARTS-1) (Adipocyte-derived leucine aminopeptidase) (A-LAP) (Aminopeptidase PILS) (Puromycin-insensitive leucyl-specific aminopeptidase) (PILS-AP) (Type 1 tumor necrosis factor receptor shedding aminopeptidase regulator)	Peptidase M1 family	Homo sapiens (Human)	3.4.11.-	ERAP1	aminopeptidase activity [GO:0004177]; endopeptidase activity [GO:0004175]; interleukin-1, type II receptor binding [GO:0005151]; interleukin-6 receptor binding [GO:0005138]; metalloaminopeptidase activity [GO:0070006]; metalloexopeptidase activity [GO:0008235]; peptide binding [GO:0042277]; zinc ion binding [GO:0008270]	Endoplasmic reticulum aminopeptidase 1
Q9UBS0	KS6B2_HUMAN	Ribosomal protein S6 kinase beta-2 (S6K-beta-2) (S6K2) (EC 2.7.11.1) (70 kDa ribosomal protein S6 kinase 2) (P70S6K2) (p70-S6K 2) (S6 kinase-related kinase) (SRK) (Serine/threonine-protein kinase 14B) (p70 ribosomal S6 kinase beta) (S6K-beta) (p70 S6 kinase beta) (p70 S6K-beta) (p70 S6KB) (p70-beta)	Protein kinase superfamily, AGC Ser/Thr protein kinase family, S6 kinase subfamily	Homo sapiens (Human)	2.7.11.1	RPS6KB2	ATP binding [GO:0005524]; peptide binding [GO:0042277]; protein kinase activity [GO:0004672]; protein serine/threonine kinase activity [GO:0004674]; protein serine kinase activity [GO:0106310]; protein threonine kinase activity [GO:0106311]; ribosomal protein S6 kinase activity [GO:0004711]	Ribosomal protein S6 kinase beta-2
Q9NZM1	MYOF_HUMAN	Myoferlin (Fer-1-like protein 3)	Ferlin family	Homo sapiens (Human)		MYOF	metal ion binding [GO:0046872]; phospholipid binding [GO:0005543]	Myoferlin
Q9UQ49	NEUR3_HUMAN	Sialidase-3 (EC 3.2.1.18) (Ganglioside sialidasedis) (Membrane sialidase) (N-acetyl-alpha-neuraminidase 3)	Glycosyl hydrolase 33 family	Homo sapiens (Human)	3.2.1.18	NEU3	alpha-sialidase activity [GO:0016997]; exo-alpha-(2->3)-sialidase activity [GO:0052794]; exo-alpha-(2->6)-sialidase activity [GO:0052795]; exo-alpha-(2->8)-sialidase activity [GO:0052796]; exo-alpha-sialidase activity [GO:0004308]	Sialidase-3
Q9UHC9	NPCL1_HUMAN	NPC1-like intracellular cholesterol transporter 1 (Niemann-Pick C1-like protein 1)	Patched family	Homo sapiens (Human)		NPC1L1	myosin V binding [GO:0031489]; small GTPase binding [GO:0031267]	NPC1-like intracellular cholesterol transporter 1
Q9UM47	NOTC3_HUMAN	Neurogenic locus notch homolog protein 3 (Notch 3) [Cleaved into: Notch 3 extracellular truncation; Notch 3 intracellular domain]	NOTCH family	Homo sapiens (Human)		NOTCH3	cadherin binding [GO:0045296]; calcium ion binding [GO:0005509]; identical protein binding [GO:0042802]; signaling receptor activity [GO:0038023]	Neurogenic locus notch homolog protein 3
Q9UUZ4	AGALC_ASPNG	Alpha-galactosidase C (EC 3.2.1.22) (Melibiase)	Glycosyl hydrolase 36 family	Aspergillus niger	3.2.1.22	aglC	alpha-galactosidase activity [GO:0004557]; raffinose alpha-galactosidase activity [GO:0052692]	Alpha-galactosidase C
Q9NZN5	ARHGC_HUMAN	Rho guanine nucleotide exchange factor 12 (Leukemia-associated RhoGEF)		Homo sapiens (Human)		ARHGEF12	G protein-coupled receptor binding [GO:0001664]; guanyl-nucleotide exchange factor activity [GO:0005085]	Rho guanine nucleotide exchange factor 12
Q9UPC5	GPR34_HUMAN	Probable G-protein coupled receptor 34	G-protein coupled receptor 1 family	Homo sapiens (Human)		GPR34	G protein-coupled purinergic nucleotide receptor activity [GO:0045028]; G protein-coupled receptor activity [GO:0004930]	Probable G-protein coupled receptor 34
Q9UKK9	NUDT5_HUMAN	ADP-sugar pyrophosphatase (EC 3.6.1.13) (8-oxo-dGDP phosphatase) (EC 3.6.1.58) (Nuclear ATP-synthesis protein NUDIX5) (EC 2.7.7.96) (Nucleoside diphosphate-linked moiety X motif 5) (Nudix motif 5) (hNUDT5) (YSA1H)	Nudix hydrolase family	Homo sapiens (Human)	3.6.1.13; 3.6.1.58; 2.7.7.96	NUDT5	8-oxo-dGDP phosphatase activity [GO:0044715]; 8-oxo-GDP phosphatase activity [GO:0044716]; ADP-ribose diphosphatase activity [GO:0047631]; ADP-sugar diphosphatase activity [GO:0019144]; identical protein binding [GO:0042802]; magnesium ion binding [GO:0000287]; nucleotidyltransferase activity [GO:0016779]; protein homodimerization activity [GO:0042803]; snoRNA binding [GO:0030515]	ADP-sugar pyrophosphatase
